Veces,Palabra
35,servicios
27,medidas
22,autoridades
21,Ley
21,1
21,asimilables
20,Artículo
20,transporte
19,artículo
19,Ministro
18,competentes
17,locales
17,necesarias
16,alarma
16,real
16,decreto
15,e
15,público
14,2
13,personas
13,establecimientos
13,actividades
12,b
11,pública
11,3
11,4
11,delegadas
11,protección
11,caso
11,productos
10,presente
10,órdenes
10,bienes
9,salud
9,Orgánica
9,Transportes
9,Movilidad
9,Agenda
9,Urbana
9,competente
9,autoridad
9,garantizar
9,centros
9,plazos
8,nacional
8,Gobierno
8,territorio
8,Sanidad
8,lugares
8,Disposición
7,seguridad
7,c
7,disposiciones
7,necesarios
7,autonómicas
7,adicional
7,necesario
7,vehículos
7,circulación
7,necesidad
7,servicio
7,acordar
7,Medidas
6,situación
6,derechos
6,4/1981
6,junio
6,previstas
6,Interior
6,prestación
6,vigencia
6,Nacional
6,5
6,Fuerzas
6,asegurar
6,sanitarios
6,actividad
6,operadores
6,esenciales
6,ferroviarios
6,50
6,Salas
6,instalaciones
5,sanitaria
5,ejercicio
5,dispuesto
5,d
5,efectos
5,Asimismo
5,dictar
5,oficio
5,previsto
5,disposición
5,Seguridad
5,ámbito
5,siguientes
5,alimentos
5,materia
5,términos
5,distancia
5,suspenden
5,relación
5,públicas
5,medios
5,titularidad
5,abastecimiento
5,establecer
5,condiciones
5,viajeros
5,sometidos
5,resolución
5,Servicios
5,Locales
5,Bares
4,adopción
4,crisis
4,ciudadanos
4,apartado
4,facultades
4,temporales
4,carácter
4,suspensión
4,Ministra
4,Defensa
4,Ministros
4,funciones
4,competencia
4,extraordinarios
4,orden
4,legislación
4,tramitación
4,procedimiento
4,comunidades
4,autónomas
4,naturaleza
4,cabo
4,17
4,Armadas
4,conformidad
4,adoptar
4,perjuicio
4,artículos
4,7
4,vías
4,entidades
4,razones
4,tráfico
4,administraciones
4,puedan
4,personales
4,previstos
4,críticos
4,suspende
4,mantendrán
4,restauración
4,apertura
4,evitar
4,civiles
4,funcionamiento
4,resulten
4,privada
4,sector
4,carretera
4,marítimo
4,contrato
4,u
4,OSP
4,oferta
4,porcentajes
4,mencionados
4,procedimientos
4,actuaciones
4,recintos
4,Salones
4,Parques
3,Salud
3,marzo
3,2020
3,COVID-19
3,frente
3,excepción
3,sanitarias
3,reforzar
3,social
3,14
3,apartados
3,duración
3,párrafos
3,quedan
3,resoluciones
3,actuación
3,cualquiera
3,actos
3,refiere
3,solicitud
3,motivada
3,deberán
3,queda
3,Cuerpos
3,quedarán
3,directas
3,pudiendo
3,agentes
3,establecerán
3,anteriores
3,julio
3,Sistema
3,Civil
3,aplicación
3,6
3,incluidas
3,noviembre
3,Administración
3,competencias
3,gestión
3,realización
3,previamente
3,prestaciones
3,obligatorias
3,contención
3,cualesquiera
3,públicos
3,recreativos
3,hostelería
3,comerciales
3,establecimiento
3,posibilidad
3,ocio
3,fiestas
3,13
3,suministro
3,aplicará
3,aéreo
3,específicas
3,venta
3,establecidos
3,adoptarán
3,octubre
3,acreditado
3,Suspensión
3,prórrogas
3,interrupción
3,práctica
3,exhibiciones
3,Campos
3,Pistas
3,Recorridos
3,apuestas
2,11
2,emergencia
2,internacional
2,hechos
2,afectados
2,extraordinario
2,riesgo
2,cuarto
2,sitio
2,Constitución
2,produzcan
2,graves
2,marco
2,contener
2,niveles
2,declaración
2,imprescindibles
2,proporcionadas
2,Vicepresidenta
2,Presidencia
2,declara
2,coronavirus
2,referencia
2,respectivas
2,áreas
2,responsabilidad
2,indicados
2,instrucciones
2,esfera
2,específica
2,ordinarios
2,once
2,párrafo
2,adoptarse
2,aplicable
2,vulnerables
2,precisa
2,administrativo
2,28
2,órgano
2,imponerles
2,intervención
2,asistencia
2,9
2,incluidos
2,abril
2,cumplimiento
2,15.3
2,5/2005
2,ordinaria
2,otorga
2,establecido
2,libertad
2,farmacéuticos
2,Asistencia
2,Desplazamiento
2,discapacidad
2,f
2,g
2,causa
2,recomendaciones
2,obligaciones
2,informará
2,vial
2,garantizarán
2,población
2,requisas
2,tipo
2,fines
2,particular
2,autonómica
2,local
2,formación
2,enseñanza
2,educativas
2,modalidades
2,resulte
2,10
2,equipamientos
2,adicionales
2,minoristas
2,alimentación
2,cuya
2,deberá
2,estrictamente
2,consumidores
2,suspendida
2,consumo
2,aglomeraciones
2,empleados
2,metro
2,desarrollen
2,desfiles
2,populares
2,culto
2,ceremonias
2,religiosas
2,características
2,distribución
2,personal
2,producción
2,fábricas
2,transportes
2,reducirán
2,operaciones
2,modificar
2,porcentaje
2,media
2,reducción
2,referidos
2,acceder
2,puestos
2,básicos
2,específicos
2,obligados
2,establezca
2,Ministerio
2,billetes
2,proceso
2,inaplazables
2,colectivos
2,alimentario
2,origen
2,destino
2,entrada
2,empresas
2,16
2,aduanero
2,puntos
2,energía
2,eléctrica
2,derivados
2,petróleo
2,gas
2,natural
2,igualmente
2,19
2,comunicación
2,arreglo
2,leyes
2,extranjero
2,miembro
2,misiones
2,diplomáticas
2,desplazamientos
2,procesales
2,interrumpen
2,jurisdiccionales
2,cómputo
2,reanudará
2,pierda
2,instrucción
2,juez
2,tribunal
2,fundamentales
2,29/1998
2,reguladora
2,judiciales
2,judicial
2,prevista
2,obstante
2,perjuicios
2,intereses
2,Administraciones
2,Públicas
2,interesado
2,manifieste
2,plazo
2,prescripción
2,caducidad
2,miembros
2,adoptadas
2,ratificación
2,vigor
2,diversión
2,espectáculo
2,Culturales
2,tiro
2,abiertos
2,Pruebas
2,recreativas
2,baile
2,recreativa
2,Juegos
2,juego
2,copas
2,musicales
2,directo
2,bares
1,Organización
1,Mundial
1,elevó
1,ocasionada
1,pandemia
1,rapidez
1,evolución
1,escala
1,requiere
1,inmediatas
1,eficaces
1,coyuntura
1,circunstancias
1,extraordinarias
1,concurren
1,constituyen
1,duda
1,precedentes
1,enorme
1,magnitud
1,elevado
1,número
1,habilita
1,atribuye
1,116.2
1,declarar
1,supongan
1,alteraciones
1,normalidad
1,norma
1,encuadran
1,acción
1,decidida
1,proteger
1,progresión
1,enfermedad
1,sistema
1,adoptado
1,gobierno
1,intensificarse
1,demora
1,prevenir
1,virus
1,mitigar
1,impacto
1,sanitario
1,económico
1,grave
1,excepcional
1,indispensable
1,proceder
1,contienen
1,resultan
1,extrema
1,gravedad
1,suponen
1,derecho
1,fundamental
1,prevé
1,55
1,virtud
1,propuesta
1,Relaciones
1,Cortes
1,Memoria
1,Democrática
1,previa
1,deliberación
1,Consejo
1,reunión
1,DISPONGO
1,Declaración
1,amparo
1,afrontar
1,provocada
1,Ámbito
1,territorial
1,afecta
1,Duración
1,quince
1,naturales
1,Autoridad
1,superior
1,dirección
1,Presidente
1,recaigan
1,delegada
1,designados
1,habilitados
1,interpretativas
1,prestar
1,atención
1,activado
1,Comité
1,Situación
1,36/2015
1,septiembre
1,apoyo
1,condición
1,Colaboración
1,integrantes
1,Policía
1,corporaciones
1,practicar
1,comprobaciones
1,comprobar
1,impedir
1,lleven
1,suspendidas
1,expresamente
1,exceptuadas
1,prohibiciones
1,suspender
1,estén
1,llevando
1,ciudadanía
1,deber
1,colaborar
1,obstaculizar
1,labor
1,cuenten
1,cuerpos
1,policiales
1,Comisiones
1,Seguimiento
1,Coordinación
1,Juntas
1,mecanismos
1,señalado
1,emergencias
1,civil
1,definidos
1,17/2015
1,Protección
1,actuarán
1,dependencia
1,funcional
1,considere
1,sujetos
1,5/2014
1,Privada
1,eficaz
1,requerir
1,Gestión
1,conservará
1,vigente
1,estime
1,Limitación
1,únicamente
1,circular
1,Adquisición
1,efectuar
1,laboral
1,profesional
1,empresarial
1,Retorno
1,residencia
1,habitual
1,cuidado
1,mayores
1,menores
1,dependientes
1,especialmente
1,financieras
1,seguros
1,fuerza
1,h
1,análoga
1,hacerse
1,individualmente
1,acompañe
1,justificada
1,Igualmente
1,permitirá
1,particulares
1,referidas
1,repostaje
1,gasolineras
1,estaciones
1,desplazamiento
1,respetarse
1,dictadas
1,cierre
1,carreteras
1,tramos
1,fluidez
1,restricción
1,acceso
1,determinados
1,motivos
