Veces,Palabra
41,Cuerpos
38,Seguridad
33,servicios
27,medidas
25,marzo
23,Real
23,Decreto
23,Fuerzas
22,463/2020
22,14
19,alarma
19,seguridad
18,Policía
17,Ley
16,competente
15,autoridad
14,Orgánica
14,caso
14,órdenes
14,personas
14,cumplimiento
14,policiales
13,previstas
13,garantizar
13,protección
13,bienes
12,artículo
12,Interior
12,Comunidades
12,Autónomas
12,centros
11,1
11,declaración
11,salud
11,Locales
11,Autoridad
11,necesidad
11,Autoridades
11,productos
10,establecimientos
10,Secretaría
10,Coordinación
9,Gobierno
9,actuaciones
9,necesarias
9,Corporaciones
9,relación
9,coordinación
9,Ministro
9,sanitarios
9,necesario
9,e
8,4/1981
8,esenciales
8,ámbito
8,lugares
8,actuación
8,personal
8,ejecución
8,autoridades
8,competentes
8,Número
7,territorio
7,conforme
7,pública
7,prestación
7,necesarios
7,delegada
7,presente
7,b
7,perjuicio
7,funcionamiento
7,Centro
6,nacional
6,previsto
6,coronavirus
6,materia
6,objeto
6,efectos
6,naturaleza
6,Ministerio
6,directas
6,seguimiento
6,locales
6,2
6,planes
6,vehículos
6,actividades
6,miembros
6,correspondientes
6,puedan
6,público
6,transporte
6,dispositivos
6,públicos
6,apoyo
6,ejercicio
5,España
5,declara
5,sanitarias
5,sanitaria
5,circunstancias
5,atribuciones
5,Asimismo
5,pudiendo
5,dispuesto
5,Orden
5,c
5,actividad
5,3
5,agentes
5,servicio
5,funciones
5,Medidas
5,circulación
5,tipo
5,resulte
5,operadores
5,críticos
5,resistencia
4,4
4,junio
4,excepción
4,situación
4,COVID-19
4,marco
4,ámbitos
4,colaboración
4,necesaria
4,extraordinarios
4,impartir
4,criterios
4,privada
4,aplicación
4,d
4,proteger
4,disposiciones
4,casos
4,Administración
4,funcionarios
4,Instrucción
4,alimentos
4,afectados
4,asegurar
4,abastecimiento
4,distribución
4,suministro
4,desplazamientos
4,apertura
4,Anexo
4,anteriores
4,requerimiento
4,efectivos
3,sitio
3,posibilidad
3,recomendaciones
3,confiere
3,consideren
3,citado
3,real
3,decreto
3,tendentes
3,eficacia
3,determinados
3,normal
3,competencias
3,titular
3,efecto
3,integrantes
3,imponerles
3,duración
3,directrices
3,Régimen
3,artículos
3,empresas
3,deban
3,elaborados
3,previstos
3,prevención
3,disposición
3,profesionales
3,ciudadanos
3,términos
3,Guardia
3,Civil
3,órganos
3,respectivos
3,obligaciones
3,vigencia
3,relacionadas
3,establecido
3,apartado
3,Nacional
3,destino
3,vigilancia
3,restrictivas
3,vías
3,realización
3,deberán
3,tráfico
3,establecidos
3,específicas
3,establecerán
3,particular
3,infracción
3,4/2015
3,atención
3,actos
3,instalaciones
3,alimentario
3,intervención
3,puntos
3,infraestructuras
3,información
3,desobediencia
3,Operativa
3,contagios
3,Actuaciones
3,movilizados
2,publicación
2,condiciones
2,contempla
2,crisis
2,tales
2,situaciones
2,evolución
2,actual
2,adopción
2,continuación
2,estrictamente
2,concurran
2,emergencia
2,sociedad
2,mantenimiento
2,contexto
2,acordadas
2,carácter
2,ciudadanía
2,especial
2,incidencia
2,medida
2,9.1
2,quedarán
2,inmediata
2,corresponden
2,Secretario
2,mando
2,virtud
2,consideración
2,Departamento
2,autonómicas
2,octubre
2,julio
2,cuerpos
2,operativa
2,mecanismos
2,evaluación
2,Policías
2,implantación
2,contingencia
2,auxilio
2,prestarse
2,asistencia
2,urgente
2,Conforme
2,5
2,Generales
2,dependan
2,directivos
2,competencia
2,organizativas
2,6
2,7
2,practicar
2,comprobaciones
2,comprobar
2,cabo
2,suspendidas
2,dictar
2,20
2,dependencia
2,civiles
2,incluidos
2,instrucciones
2,impartidas
2,adoptarán
2,informarán
2,letra
2,instrucción
2,sexta
2,producir
2,cuarentena
2,aislamiento
2,comunicaciones
2,ocasión
2,libertad
2,circular
2,farmacéuticos
2,Asistencia
2,Desplazamiento
2,efectuar
2,especialmente
2,f
2,entidades
2,Igualmente
2,acordar
2,razones
2,estatales
2,movilidad
2,viajeros
2,espacios
2,observancia
2,personales
2,30
2,ciudadana
2,puestos
2,permitir
2,producción
2,fábricas
2,requisas
2,temporales
2,prestará
2,requiera
2,reforzarán
2,policial
2,sanitario
2,permanente
2,Apoyo
2,culto
2,minoristas
2,alimentación
2,recogidos
2,establecimiento
2,cuya
2,deberá
2,consumo
2,desarrollen
2,quedan
2,incluidas
2,evitar
2,función
2,origen
2,logísticos
2,mercados
2,entrada
2,salida
2,produzcan
2,8/2011
2,establecen
2,críticas
2,trate
2,apoyar
2,Protección
2,CNPIC
2,datos
2,arreglo
2,acreditado
2,operativos
2,territorial
2,incidencias
2,informará
2,sancionador
2,incumplimiento
2,leyes
2,inmediato
2,delitos
2,infracciones
2,36.6
2,representantes
2,responsables
2,Información
2,CEPIC
2,novedades
2,Delegados
2,Subdelegados
2,Juntas
2,sanción
2,celebración
2,fecha
1,desarrollo
1,previsiones
1,recogidas
1,116
1,Constitución
1,periodo
1,quince
1,naturales
1,garantías
1,epidemias
1,contaminación
1,graves
1,problemática
1,derivada
1,producida
1,gradual
1,excepcionales
1,facultades
1,poderes
1,"4/1981,de"
1,Ejecutivo
1,promover
1,imprescindible
1,restablecimiento
1,normalidad
1,extraordinarias
1,amplia
1,serie
1,proporcionadas
1,reforzar
1,profilaxis
1,paliar
1,colateralmente
1,seguirse
1,garantía
1,convivencia
1,marcado
1,transversal
1,implicando
1,administraciones
1,públicas
1,necesitando
1,máxima
1,intrínseca
1,cuyo
1,declarado
1,considerado
1,conveniente
1,comunes
1,ejerce
1,policías
1,40/2015
1,Jurídico
1,Sector
1,Público
1,952/2018
1,27
1,desarrolla
1,estructura
1,orgánica
1,básica
1,"4.1,b"
1,4.3
1,acordado
1,Destinatarios
1,destinatarios
1,Impartir
1,adecuar
1,competencial
1,contenidas
1,asumir
1,articulando
1,Garantizar
1,acción
1,concertada
1,Autonómicos
1,Adecuar
1,motivo
1,expansión
1,contemplando
1,concretarse
1,controles
1,manteniendo
1,niveles
1,investigación
1,capacidades
1,sirvan
1,auxiliar
1,instituciones
1,precisen
1,aplicarán
1,principios
1,proporcionalidad
1,dirigidos
1,contener
1,progresión
1,enfermedad
1,designa
1,respectiva
1,área
1,responsabilidad
1,Directores
1,estarán
1,sujetos
1,emanen
1,tomarán
1,oportunas
1,operativas
1,cobertura
1,deriven
1,reciban
1,orientarán
1,prioritariamente
1,refiere
1,limitando
1,imprescindibles
1,impedir
1,lleven
1,expresamente
1,exceptuadas
1,prohibiciones
1,suspender
1,estén
1,llevando
1,Obligaciones
1,9.i
1,9/2015
1,28
1,Personal
1,obligación
1,presentarse
1,emplazados
1,requerida
1,11/2007
1,22
1,reguladora
1,derechos
1,deberes
1,Guardias
1,Civiles
1,presentarán
1,próxima
1,pondrán
1,Pública
1,afectado
1,trabajadores
1,Tercero
1,Autoprotección
1,independientemente
1,Cuerpo
1,pertenencia
1,derecho
1,eficaz
1,observarán
1,transmisión
1,Direcciones
1,equipos
1,involucrado
1,regulación
1,adecuados
1,velando
1,efectivo
1,correcto
1,procurando
1,distintos
1,periódicamente
1,infección
1,sometido
1,territoriales
1,competenciales
1,Cuarto
1,Ejecución
1,transportes
1,únicamente
1,siguientes
1,Adquisición
1,laboral
1,profesional
1,empresarial
1,Retorno
1,residencia
1,habitual
1,cuidado
1,mayores
1,menores
1,dependientes
1,discapacidad
1,vulnerables
1,financieras
1,g
1,causa
1,fuerza
1,h
1,análoga
1,debidamente
1,justificada
1,permitirá
1,particulares
1,referidas
1,repostaje
1,gasolineras
1,estaciones
1,desplazamiento
1,respetarse
1,dictadas
1,cierre
1,carreteras
1,tramos
1,fluidez
1,restricción
1,acceso
1,motivos
1,vial
1,garantizarán
1,divulgación
1,población
1,afectar
1,rodado
1,medios
1,cualquiera
1,Transportes
1,Movilidad
1,Agenda
1,Urbana
1,acuerdos
1,resoluciones
1,ordinarios
1,orden
1,atribuyéndosele
1,facultad
1,reducir
1,oferta
1,operaciones
1,carretera
1,ferroviarios
1,aéreo
1,marítimo
1,modificar
1,porcentajes
1,establecer
1,fijos
1,móviles
1,red
1,franjas
1,horarias
1,específicamente
1,vean
1,restricciones
1,recogen
1,limitativas
1,procede
1,sancionar
1,documentales
1,amparo
1,acceder
1,básicos
1,perteneciente
1,dedicadas
1,adopten
1,aseguramiento
1,Sanidad
1,mercado
1,desabastecimiento
1,intervenir
1,ocupar
1,transitoriamente
1,industrias
1,talleres
1,explotaciones
1,titularidad
1,industria
1,farmacéutica
1,imponer
1,prestaciones
1,obligatorias
1,adecuada
1,permanentes
1,habilitados
1,temporalmente
1,elaboración
1,almacenamiento
1,intensificará
1,figura
1,interlocutor
1,regulado
1,3/2017
1,cauce
1,comunicación
1,sistema
1,apoyarán
1,emergencias
1,comercial
1,suspensión
1,juicio
1,suponer
1,riesgo
1,contagio
1,permanencia
1,esté
1,permitida
1,adquisición
1,quedando
1,suspendida
1,suspende
1,espectáculos
1,culturales
1,artísticas
1,deportivas
1,ocio
1,suspenden
1,asimismo
1,hostelería
1,restauración
1,cafeterías
1,restaurantes
1,permanecerán
1,cerrados
1,prestar
1,exclusivamente
1,entrega
1,domicilio
1,verbenas
1,desfiles
1,fiestas
1,populares
1,ceremonias
1,religiosas
1,fúnebres
1,queda
1,condicionada
1,consistentes
1,aglomeraciones
1,dimensiones
1,características
1,garantice
1,asistentes
1,respetar
1,distancia
1,metro
1,destinadas
1,preciso
1,permitiendo
1,comerciales
1,venta
1,consumidor
1,incluyendo
1,almacenes
1,corredores
1,materias
1,primas
1,procedentes
1,granjas
1,piensos
1,animal
1,mataderos
1,energía
1,eléctrica
1,derivados
1,petróleo
1,gas
1,natural
1,adoptados
1,respaldar
1,acompañamiento
1,realicen
1,mencionados
1,inspección
1,fronteriza
1,ubicados
1,puertos
1,aeropuertos
1,atenderá
1,prioritaria
1,importación
1,identificados
1,base
1,operativo
1,cuerpo
1,responsable
1,infraestructura
1,dichas
1,Infraestructuras
1,Ciberseguridad
1,recabará
1,vinculado
1,tareas
1,comunicará
1,consulta
1,emitirá
1,pertinentes
1,acreditaciones
1,autorizadas
1,exhibirse
1,requeridas
1,anteriormente
1,extensible
1,organizaciones
1,consideradas
1,tengan
1,especiales
1,concurren
1,cadenas
1,medicinas
1,reparación
1,relativas
1,control
1,Queda
1,exceptuado
1,limitaciones
1,generales
1,extranjero
1,miembro
1,misiones
1,diplomáticas
1,oficinas
1,consulares
1,organismos
1,internacionales
1,sitos
1,país
1,terceros
1,encuentre
1,igualmente
1,vinculados
1,desempeño
1,oficiales
1,preverá
1,disponibilidad
1,recursos
1,ordenarse
1,fines
1,8
1,integrarán
1,dispersión
1,esfuerzos
1,potenciará
1,preste
1,actuantes
1,impartirán
1,prevenir
1,minimizar
1,desinformación
1,extremándose
1,monitorización
1,redes
1,páginas
1,web
1,difundan
1,mensajes
1,informaciones
1,falsas
1,orientadas
1,incrementar
1,estrés
1,social
1,instando
1,legislación
1,aplicable
1,activación
1,resultados
1,mantener
1,nivel
1,Quinto
1,deber
1,cívico
1,colaborar
1,obstaculizar
1,labor
1,10
1,sancionado
1,señalados
1,punto
1,fuesen
1,cometidos
1,empleados
1,tramitará
1,correspondiente
1,atestado
1,incoará
1,procedimiento
1,notificándolo
1,superior
1,jerárquico
1,disciplinarios
1,pondrá
1,conocimiento
1,traslado
1,suspenderlos
1,cargos
1,incurrir
1,conviene
1,recordar
1,constitutivos
1,atentados
1,tipificados
1,forma
1,específica
1,550
1,556
1,Código
1,Penal
1,grave
1,constitutivas
1,delito
1,negativa
1,identificarse
1,alegación
1,falsos
1,inexactos
1,procesos
1,identificación
