Veces,Palabra
5,marzo
5,internos
5,centros
4,Real
4,Decreto
4,463/2020
4,14
3,alarma
3,situación
3,artículo
3,penitenciarios
2,medidas
2,gestión
2,crisis
2,sanitaria
2,ocasionada
2,COVID-19
2,vigencia
2,declarado
2,suspenden
2,comunicaciones
2,salidas
2,7
2,tengan
1,marco
1,previstas
1,declara
1,conforme
1,atribuciones
1,confiere
1,4.3
1,acordado
1,adoptan
1,siguientes
1,relación
1,ordinarias
1,dada
1,limitación
1,libertad
1,circulación
1,familias
1,amigos
1,visitan
1,b
1,permiso
1,programadas
1,salida
1,causas
1,fuerza
1,necesidad
1,evitar
1,desplazamientos
1,prohibidos
1,c
1,clasificados
1,tercer
1,grado
1,aplicado
1,régimen
1,flexibilidad
1,hallen
1,destinados
1,inserción
1,social
1,secciones
1,abiertas
1,ordinarios
1,salir
1,realización
1,actividades
1,expresamente
1,relacionadas
1,mencionado
1,real
1,decreto
1,adoptándose
1,protocolos
1,establecidos
1,regresen
1,centro
1,penitenciario
1,caso
1,desplazamiento
1,deberán
1,respetarse
1,recomendaciones
1,obligaciones
1,dictadas
1,autoridades
1,sanitarias
1,d
1,ampliarán
1,telefónicas
1,autorizadas
1,especialmente
1,abogados
1,quede
1,garantizado
1,derecho
1,defensa
1,orden
1,eficaz
1,publicación
1,Boletín
1,Oficial
1,mantendrá
1,eficacia
1,Madrid
1,15
1,2020.–El
1,Ministro
1,Interior
1,Fernando
1,Grande
1,Marlaska
1,Gómez
