Veces,Palabra
10,Protección
10,Civil
8,artículo
8,Emergencias
7,protección
6,civil
6,CENEM
5,marzo
5,Nacional
5,Comunidades
5,Ciudades
5,Estatuto
5,Autonomía
5,medidas
5,órganos
4,Real
4,Decreto
4,463/2020
4,14
4,situación
4,servicios
4,comunicación
3,alarma
3,Interior
3,Ley
3,Sistema
3,competentes
3,instrucciones
3,necesarias
3,Dirección
3,CECO
3,Generales
3,Comunicación
3,informes
2,gestión
2,crisis
2,Ministro
2,emergencias
2,17/2015
2,9
2,julio
2,autoridades
2,e
2,garantizar
2,Comité
2,Estatal
2,Coordinación
2,integrarán
2,estime
2,reforzada
2,Centro
2,habrán
2,adoptadas
2,Orden
2,Ministerial
2,Direcciones
2,u
2,equivalentes
2,entrada
2,vigor
2,información
2,ámbito
2,continuarán
2,iniciativa
2,ordinaria
2,6
2,adoptarán
2,correspondientes
2,pública
2,mensajes
1,declara
1,sanitaria
1,ocasionada
1,COVID-19
1,designa
1,4.2.b
1,autoridad
1,delegada
1,área
1,responsabilidad
1,determinando
1,5.4
1,intervención
1,asistencia
1,definidos
1,17
1,actuarán
1,dependencia
1,funcional
1,4.3
1,atribuye
1,Ministros
1,designados
1,delegadas
1,habilitación
1,dictar
1,órdenes
1,resoluciones
1,disposiciones
1,interpretativas
1,prestación
1,ordinarios
1,extraordinarios
1,orden
1,personas
1,bienes
1,lugares
1,virtud
1,dispongo
1,Constitución
1,procederá
1,convocar
1,inmediatamente
1,Consejeros
1,materia
1,Autónomas
1,delegación
1,Directores
1,Delegados
1,Gobierno
1,Administraciones
1,Públicas
1,oportuno
1,presidencia
1,vigencia
1,establece
1,sistema
1,autonómicos
1,dirigirse
1,informaciones
1,operativas
1,relevantes
1,transmitirán
1,generales
1,particulares
1,acuerden
1,Tercero
1,mantenimiento
1,publicada
1,remitirán
1,informe
1,Igualmente
1,recabarán
1,correspondiente
1,Corporaciones
1,Locales
1,territorial
1,Dichas
1,consideran
1,ratificadas
1,vigentes
1,resulten
1,incompatibles
1,dispuesto
1,determinará
1,contenido
1,periodicidad
1,remitirse
1,independencia
1,periódicos
1,emitirán
1,específicos
1,consideren
1,necesarios
1,petición
1,centrales
1,Cuarto
1,Gestión
1,conformidad
1,Servicios
1,ejerciendo
1,competencias
1,otorga
1,vigente
1,legislación
1,servicio
1,estimen
1,marco
1,directrices
1,emitan
1,Ministerio
1,remitiendo
1,Quinto
1,avisos
1,población
1,homogénea
1,adaptada
1,naturaleza
1,facilitar
1,ciudadanos
1,derecho
1,establecido
1,gestionar
1,obligación
1,impone
1,medios
1,7
1,bis
1,8
1,19
1,inserción
1,anuncios
1,comunicaciones
1,comunicarán
1,previamente
1,establecerán
1,coordinación
1,Autoridades
1,Sanitarias
1,conveniente
1,difundir
1,función
1,oficio
1,propuesta
1,Sexto
1,Activación
1,voluntariado
1,Comunidad
1,Ciudad
1,activación
1,voluntarios
1,informando
1,número
1,efectivos
1,movilizados
1,Séptimo
1,Publicación
1,presente
1,surtirá
1,efectos
1,publicación
1,Boletín
1,Oficial
1,Madrid
1,15
1,2020.–El
1,Fernando
1,Grande
1,Marlaska
1,Gómez
