Veces,Palabra
19,Defensa
11,personal
9,sanitaria
9,Ministerio
8,alarma
8,Fuerzas
8,Armadas
8,militar
8,medidas
6,artículo
6,marzo
6,situación
6,autoridad
5,crisis
5,Real
5,Decreto
5,463/2020
5,14
5,red
5,capacidades
5,efectos
4,Ley
4,Orgánica
4,caso
4,públicas
4,Ministra
4,competente
4,instrucción
4,ámbito
4,coordinación
4,autoridades
4,militares
4,Sanidad
4,Subsecretario
3,b
3,Nacional
3,seguridad
3,necesidades
3,COVID-19
3,real
3,decreto
3,actuación
3,garantizar
3,carácter
3,nacional
3,aplicación
3,recursos
3,cumplimiento
3,disposición
3,Militar
3,actual
3,JEMAD
3,reserva
3,destino
2,excepción
2,Gobierno
2,sanitarias
2,misiones
2,Administraciones
2,supuestos
2,grave
2,riesgo
2,catástrofe
2,calamidad
2,u
2,operaciones
2,gestión
2,ocasionada
2,instrucciones
2,necesarias
2,sanitarios
2,Sistema
2,Salud
2,territorio
2,servicio
2,presente
2,previsto
2,miembros
2,sanitario
2,citado
2,c
2,competentes
2,delegadas
2,Unidad
2,Emergencias
2,Inspección
2,disponibilidad
2,Secretario
2,Jefes
2,Ejércitos
2,Armada
2,Jefe
2,activo
2,consecuencia
2,determine
2,resto
2,e
2,crítico
2,Medidas
2,derivadas
1,4/1981
1,1
1,junio
1,sitio
1,determina
1,cuarto
1,letra
1,facultades
1,otorga
1,116.2
1,Constitución
1,española
1,declarar
1,tales
1,epidemias
1,situaciones
1,contaminación
1,graves
1,5/2005
1,17
1,noviembre
1,establece
1,15.3
1,Instituciones
1,preservar
1,bienestar
1,ciudadanos
1,16.e
1,configura
1,tipos
1,colaboración
1,declarado
1,nombra
1,delegada
1,área
1,responsabilidad
1,habilita
1,dictar
1,esfera
1,específica
1,prestación
1,servicios
1,ordinarios
1,extraordinarios
1,orden
1,protección
1,personas
1,bienes
1,lugares
1,contribución
1,establecimientos
1,virtud
1,conforme
1,atribuciones
1,confiere
1,4.3
1,dispongo
1,Ámbito
1,aplicará
1,estatutario
1,civil
1,presta
1,Objeto
1,objeto
1,Determinar
1,desarrollo
1,declara
1,Garantizar
1,operativo
1,previstas
1,determinen
1,materia
1,Policía
1,Transporte
1,logístico
1,terrestre
1,Aerotransporte
1,aerotransporte
1,medicalizado
1,Control
1,tráfico
1,aéreo
1,navegación
1,marítima
1,puertos
1,aeropuertos
1,Alojamientos
1,logísticos
1,establecimiento
1,campamentos
1,Obligaciones
1,22.1
1,9/2011
1,27
1,julio
1,derechos
1,deberes
1,estarán
1,permanente
1,derivado
1,adaptará
1,Política
1,pondrán
1,ejecutar
1,competen
1,relación
1,asignadas
1,proponer
1,pase
1,ocupar
1,d
1,destinar
1,independencia
1,causa
1,hayan
1,administrativa
1,incorporarse
1,requerido
1,f
1,reducirá
1,permisos
1,mínimo
1,imprescindible
1,debiendo
1,autorizada
1,Inspector
1,Cuarta
1,autoprotección
1,respetarán
1,recomendaciones
1,civiles
1,prevención
1,transmisión
1,efecto
1,incluido
1,utilizará
1,equipos
1,adecuados
1,atendiendo
1,disponga
1,adoptarán
1,proteger
1,esté
1,directamente
1,implicado
1,ejecución
1,garanticen
1,defensa
1,Quinta
1,Ejecución
1,superior
1,ejercerá
1,mando
1,único
1,ejecuten
1,integrará
1,operativos
1,Sexta
1,establecerá
1,Centro
1,integrarán
1,mandos
1,perjuicio
1,medios
1,establezcan
1,Séptima
1,Vigencia
1,surtirá
1,plenos
1,publicación
1,Boletín
1,Oficial
1,mantendrá
1,eficacia
1,vigencia
1,Madrid
1,15
1,2020.–La
1,Margarita
1,Robles
1,Fernández
