Veces,Palabra
12,medidas
11,información
10,disposiciones
10,autónomas
10,orden
9,COVID-19
9,comunidades
7,Sanidad
6,Real
6,Decreto
6,14
6,vigor
6,contención
6,apartado
6,Nacional
6,remitirá
6,forma
6,agregada
6,comunidad
6,autónoma
5,marzo
5,entrada
5,autoridades
5,locales
5,público
5,remitida
5,Instituto
5,Gestión
5,Sanitaria
5,Centro
5,Hospitalario
4,463/2020
4,adoptadas
4,competentes
4,entidades
4,coronavirus
4,ámbito
4,supuestos
4,Ministerio
4,cuarto
4,publicación
4,Información
4,privado
3,situación
3,establece
3,ocasión
3,Ministro
3,autoridad
3,competente
3,presente
3,recursos
3,13
3,intervalo
3,viernes
3,Número
2,gestión
2,crisis
2,sanitaria
2,efectos
2,toma
2,decisiones
2,actúe
2,delegada
2,obligación
2,comunicar
2,adoptado
2,términos
2,remitir
2,Anexo
2,Coronavirus
2,enumerados
2,recaigan
2,competencial
2,adoptarán
2,oficio
2,solicitud
2,motivada
2,deberán
2,plazo
2,ámbitos
2,epidemiológica
2,capacidad
2,asistencial
2,necesidades
2,humanos
2,materiales
2,Contencioso
2,casos
2,concreto
2,diariamente
2,Adicionalmente
2,relacionada
2,ambulancias
2,medicalizadas
2,notificado
2,cambio
2,produzca
1,disposición
1,declara
1,alarma
1,ocasionada
1,quedan
1,ratificadas
1,continúan
1,vigentes
1,producirán
1,previstos
1,resulten
1,compatibles
1,citado
1,Asimismo
1,entrado
1,imprescindible
1,necesario
1,adoptar
1,adopten
1,principios
1,coordinación
1,unidad
1,decisión
1,garantizar
1,coherencia
1,asegurar
1,efectividad
1,favorecer
1,cohesión
1,equidad
1,conjunto
1,territorio
1,nacional
1,dirigidas
1,autonómico
1,harán
1,relación
1,local
1,Igualmente
1,comprobar
1,compatibilidad
1,dichas
1,Administraciones
1,hubieran
1,expresados
1,facilitar
1,seguimiento
1,detalla
1,virtud
1,resuelvo
1,adopción
1,realizará
1,autonómicas
1,autonómica
1,correspondientes
1,Tercero
1,hayan
1,contemplados
1,Cuarto
1,comunicación
1,refiere
1,deberá
1,incluir
1,siguientes
1,Limitaciones
1,libertad
1,circulación
1,personas
1,b
1,Establecimientos
1,equipamientos
1,actividades
1,cuya
1,apertura
1,hubiera
1,suspendido
1,condicionado
1,c
1,Aseguramiento
1,abastecimiento
1,productos
1,necesarios
1,protección
1,salud
1,pública
1,Quinto
1,establecidos
1,Sexto
1,producirá
1,Boletín
1,Oficial
1,pone
1,vía
1,administrativa
1,interponer
1,recurso
1,contencioso
1,administrativo
1,meses
1,Sala
1,Administrativo
1,Audiencia
1,conformidad
1,dispuesto
1,artículo
1,11
1,Ley
1,29/1998
1,julio
1,reguladora
1,Jurisdicción
1,Administrativa
1,Madrid
1,15
1,2020.–El
1,Salvador
1,Illa
1,Roca
1,ANEXO
1,ciudades
1,Ceuta
1,Melilla
1,Datos
1,20
1,21
1,Presión
1,urgencias
1,considerando
1,ingresos
1,número
1,semanalmente
1,equipos
1,ventilación
1,mecánica
1,invasiva
