Veces,Palabra
5,información
5,sujetos
4,marzo
4,territorio
4,nacional
4,Sanidad
4,orden
4,obligados
3,COVID-19
3,Salud
3,Real
3,Decreto
3,productos
3,presente
3,Orden
3,protección
3,publicación
2,situación
2,salud
2,pública
2,11
2,463/2020
2,14
2,alarma
2,Ministro
2,Nacional
2,aplicación
2,Ministerio
2,desarrollo
2,previsto
2,personas
2,jurídicas
2,nacionales
2,extranjeras
2,ubicadas
2,tengan
2,apartado
2,tercero
2,Mascarilla
2,Kits
2,diagnóstico
2,consumibles
2,VMI
2,modelo
2,declaración
2,plazo
2,administrativa
2,Ley
2,Contencioso
1,motivo
1,emergencia
1,provocada
1,Organización
1,Mundial
1,elevó
1,pandemia
1,internacional
1,2020
1,Gobierno
1,Nación
1,ejercicio
1,competencias
1,constitucionalmente
1,atribuidas
1,acordó
1,declarar
1,habilita
1,autoridad
1,competente
1,delegada
1,adoptar
1,medidas
1,considere
1,oportunas
1,dirigidas
1,reforzar
1,Sistema
1,virtud
1,resuelvo
1,Determinar
1,procedimiento
1,suministrar
1,integrados
1,ámbito
1,declara
1,gestión
1,crisis
1,sanitaria
1,ocasionada
1,actividad
1,fabricación
1,importación
1,recogidos
1,Asimismo
1,capacidad
1,previstos
1,Tercero
1,deberán
1,presentar
1,siguientes
1,Mascarillas
1,quirúrgicas
1,tipo
1,II
1,IIR
1,FFP2
1,FFP3
1,PCR
1,rápido
1,detección
1,antígeno
1,Hisopos
1,Gafas
1,Guantes
1,nitrilo
1,polvo
1,Batas
1,desechables
1,e
1,impermeables
1,Solución
1,hidroalcohólica
1,biocida
1,cosmético
1,materias
1,primas
1,Dispositivos
1,ventilación
1,mecánica
1,invasiva
1,Fungibles
1,equipos
1,Alcoholes
1,sanitarios
1,Clorhexidina
1,Cuarto
1,dará
1,cumplimiento
1,obligaciones
1,remisión
1,previstas
1,cumplimentación
1,anexo
1,disponible
1,sede
1,electrónica
1,Dicha
1,deberá
1,remitida
1,naturales
1,contar
1,BOE
1,Quinto
1,presentación
1,requerida
1,falsedad
1,consideración
1,infracción
1,materia
1,sancionada
1,establecido
1,título
1,VI
1,33/2011
1,4
1,octubre
1,Pública
1,Sexto
1,producirá
1,efectos
1,Boletín
1,Oficial
1,Séptimo
1,pone
1,vía
1,interponer
1,recurso
1,contencioso
1,administrativo
1,meses
1,Sala
1,Administrativo
1,Audiencia
1,conformidad
1,dispuesto
1,artículo
1,29/1998
1,13
1,julio
1,reguladora
1,Jurisdicción
1,Administrativa
1,Madrid
1,15
1,2020.–El
1,Salvador
1,Illa
1,Roca
1,ANEXO
1,Modelo
1,Nombre
1,CIF
1,Contacto
