Veces,Palabra
5,14
4,4
4,alarma
4,marzo
4,facilitar
3,nacional
3,Real
3,Decreto
3,463/2020
3,Ministro
3,Transportes
3,Movilidad
3,Agenda
3,Urbana
3,transporte
3,servicios
3,profesionales
3,deberán
3,conductores
2,situación
2,ocasionada
2,COVID-19
2,e
2,amparo
2,artículo
2,territorio
2,crisis
2,sanitaria
2,artículos
2,necesarios
2,orden
2,medidas
2,apartado
2,necesarias
2,objeto
2,garantizar
2,instrucciones
2,acceso
2,establecimientos
2,dispongan
2,tipo
2,instalaciones
2,operaciones
1,rapidez
1,evolución
1,emergencia
1,salud
1,pública
1,escala
1,internacional
1,Gobierno
1,dispuesto
1,apartados
1,b
1,d
1,Ley
1,Orgánica
1,4/1981
1,1
1,junio
1,excepción
1,sitio
1,declarado
1,afrontar
1,14.1
1,autoridad
1,competente
1,delegada
1,áreas
1,responsabilidad
1,queda
1,habilitado
1,dictar
1,actos
1,disposiciones
1,protección
1,personas
1,bienes
1,lugares
1,necesidad
1,procedimiento
1,administrativo
1,contención
1,previstas
1,real
1,decreto
1,citado
1,regula
1,relativas
1,materias
1,transportes
1,concretando
1,2
1,aplicables
1,interior
1,indicando
1,establecerá
1,condiciones
1,mercancías
1,abastecimiento
1,considerado
1,conveniente
1,fijar
1,sector
1,ejercicio
1,actividad
1,habilitación
1,contenida
1,declara
1,gestión
1,dispongo
1,Artículo
1,único
1,suministro
1,combustible
1,aseo
1,centros
1,carga
1,descarga
1,cuenten
1,medida
1,realicen
1,puedan
1,exigir
1,seguirán
1,criterios
1,prevención
1,carácter
1,establezca
1,Ministerio
1,Sanidad
1,órgano
1,pudiera
1,establecer
1,específicamente
1,ámbito
1,Asimismo
1,posibilitar
1,descansos
1,adecuados
1,cumplimiento
1,normativa
1,tiempos
1,conducción
1,descanso
1,imprescindibles
1,cabo
1,cocina
1,restauración
1,expendedores
1,comida
1,preparada
1,transportista
1,profesional
1,servicio
1,catering
1,Disposición
1,única
1,Vigencia
1,Orden
1,aplicación
1,publicación
1,Boletín
1,Oficial
1,finalización
1,periodo
1,existan
1,circunstancias
1,justifiquen
1,modificando
1,términos
1,presente
1,Madrid
1,15
1,2020.–El
1,José
1,Luis
1,Ábalos
1,Meco
