Veces,Palabra
9,servicios
6,situación
6,14
6,transporte
5,alarma
5,sanitaria
5,marzo
4,artículo
4,Real
4,Decreto
4,463/2020
4,Transportes
4,Movilidad
4,Agenda
4,Urbana
4,público
3,evolución
3,ocasionada
3,COVID-19
3,nacional
3,territorio
3,crisis
3,Ministro
3,autoridad
3,competente
3,orden
3,2
3,titularidad
3,porcentajes
3,reducción
3,caso
2,rapidez
2,pública
2,amparo
2,1
2,artículos
2,4
2,14.1
2,medidas
2,previstas
2,apartado
2,viajeros
2,competencia
2,autonómica
2,local
2,establecer
2,condiciones
2,específicas
2,prestación
2,dichos
2,aplicación
2,actuaciones
2,necesario
2,realidad
2,declara
2,gestión
2,Artículo
2,puedan
2,autoridades
2,locales
2,deberán
1,emergencia
1,salud
1,escala
1,e
1,internacional
1,Gobierno
1,dispuesto
1,cuarto
1,apartados
1,b
1,d
1,Ley
1,Orgánica
1,4/1981
1,junio
1,excepción
1,sitio
1,declarado
1,afrontar
1,delegada
1,áreas
1,responsabilidad
1,queda
1,habilitado
1,dictar
1,actos
1,disposiciones
1,necesarios
1,protección
1,personas
1,bienes
1,lugares
1,necesidad
1,procedimiento
1,administrativo
1,contención
1,real
1,decreto
1,citado
1,regula
1,relativas
1,materias
1,transportes
1,concretando
1,aplicables
1,interior
1,concreto
1,c
1,indica
1,carretera
1,ferroviarios
1,marítimo
1,sometidos
1,contrato
1,u
1,OSP
1,mantener
1,oferta
1,aconseje
1,garantizar
1,efectiva
1,precepto
1,considerado
1,conveniente
1,clarificar
1,ámbito
1,territorial
1,relación
1,exige
1,escenario
1,dinámico
1,coordinación
1,agilidad
1,respuesta
1,adecuación
1,cambia
1,diariamente
1,habilitación
1,contenida
1,dispongo
1,fijar
1,estime
1,convenientes
1,necesidades
1,movilidad
1,existentes
1,territorios
1,garantizando
1,ciudadanos
1,acceder
1,puestos
1,básicos
1,procederá
1,perjuicio
1,facultades
1,señaladas
1,virtud
1,fijen
1,públicos
1,regular
1,comunicarlo
1,correspondiente
1,comunidad
1,autónoma
1,comunidades
1,autónomas
1,comunicar
1,Ministerio
1,información
1,hayan
1,recibido
1,suyos
1,objeto
1,coordinarse
1,Disposición
1,única
1,Vigencia
1,publicación
1,Boletín
1,Oficial
1,finalización
1,periodo
1,existan
1,circunstancias
1,justifiquen
1,modificando
1,términos
1,presente
1,Madrid
1,15
1,2020.–El
1,José
1,Luis
1,Ábalos
1,Meco
