Veces,Palabra
8,mensaje
7,alarma
6,14
6,marzo
5,artículo
5,Real
5,Decreto
5,proceso
4,situación
4,ocasionada
4,COVID-19
4,crisis
4,sanitaria
4,463/2020
4,venta
4,billetes
3,1
3,2
3,contenido
3,orden
3,declara
3,gestión
3,Artículo
3,presente
3,3
2,nacional
2,amparo
2,4
2,territorio
2,apartado
2,transporte
2,determina
2,deberán
2,incluir
2,desaconseje
2,viajar
2,razones
2,inaplazables
2,características
2,Ministro
2,Transportes
2,Movilidad
2,Agenda
2,Urbana
2,recogido
2,inicio
2,determinadas
2,personas
2,actividades
2,deberá
2,compra
1,rapidez
1,evolución
1,emergencia
1,salud
1,pública
1,escala
1,e
1,internacional
1,Gobierno
1,dispuesto
1,apartados
1,b
1,d
1,Ley
1,Orgánica
1,4/1981
1,junio
1,excepción
1,sitio
1,declarado
1,afrontar
1,medidas
1,contención
1,previstas
1,citado
1,regula
1,relativas
1,materia
1,transportes
1,concretando
1,aplicables
1,interior
1,epígrafe
1,f
1,sistemas
1,online
1,suficientemente
1,visible
1,estableciendo
1,anuncio
1,establecerán
1,virtud
1,habilitación
1,contenida
1,artículos
1,dispongo
1,Objeto
1,objeto
1,definir
1,14.2.f
1,Ámbito
1,objetivo
1,aplicación
1,00:00
1,17
1,2020
1,establece
1,obligación
1,compañías
1,marítimas
1,aéreas
1,terrestre
1,persona
1,física
1,jurídica
1,intervenga
1,comercialización
1,habiliten
1,trayecto
1,origen
1,destino
1,español
1,incluyan
1,Orden
1,Características
1,incluirá
1,on
1,line
1,INFORMACIÓN
1,IMPORTANTE
1,7
1,relativo
1,limitación
1,libertad
1,circulación
1,vigencia
1,únicamente
1,circular
1,vías
1,público
1,tasadas
1,sentido
1,billete
1,adquiera
1,realización
1,cualquiera
1,dichas
1,DESACONSEJA
1,VIAJAR
1,CITADAS
1,RAZONES
1,INAPLAZABLES
1,caso
1,desplazamiento
1,respetarse
1,recomendaciones
1,obligaciones
1,dictadas
1,autoridades
1,sanitarias
1,respetar
1,garantizar
1,legibilidad
1,dispositivos
1,electrónicos
1,permita
1,determinará
1,formatos
1,tamaños
1,letra
1,adecuados
1,Asimismo
1,obtenerse
1,consentimiento
1,usuario
1,continuar
1,establecimiento
1,botón
1,Entiendo
1,advertencia
1,Disposición
1,única
1,Vigencia
1,resolución
1,vigente
1,publicación
1,Boletín
1,Oficial
1,finalización
1,periodo
1,existan
1,circunstancias
1,justifiquen
1,modificando
1,términos
1,Madrid
1,15
1,2020.–EL
1,José
1,Luis
1,Ábalos
1,Meco
