2020-03-14,,2020-03-18_defensa,,2020-03-18_Interior_fuerzas_cuerpos_seguridad,,2020-03-18_Interior_penitenciarias,,2020-03-18_Interior_proteccion_civil,,2020-03-18_sanidad_contencion,,2020-03-18_sanidad_informacion,,2020-03-18_sanidad_recursos_humanos,,2020-03-18_tma_transportes,,2020-03-18_tma_transportes_ccaa_locales,,2020-03-18_tma_transportes_personas,
Veces,Palabra,Veces,Palabra,Veces,Palabra,Veces,Palabra,Veces,Palabra,Veces,Palabra,Veces,Palabra,Veces,Palabra,Veces,Palabra,Veces,Palabra,Veces,Palabra
35,servicios,19,Defensa,41,Cuerpos,5,marzo,10,Protección,12,medidas,5,información,17,profesionales,5,14,9,servicios,8,mensaje
27,medidas,11,personal,38,Seguridad,5,internos,10,Civil,11,información,5,sujetos,16,sanitarios,4,4,6,situación,7,alarma
22,autoridades,9,sanitaria,33,servicios,5,centros,8,artículo,10,disposiciones,4,marzo,15,autónomas,4,alarma,6,14,6,14
21,Ley,9,Ministerio,27,medidas,4,Real,8,Emergencias,10,autónomas,4,territorio,14,servicios,4,marzo,6,transporte,6,marzo
21,1,8,alarma,25,marzo,4,Decreto,7,protección,10,orden,4,nacional,13,comunidades,4,facilitar,5,alarma,5,artículo
21,asimilables,8,Fuerzas,23,Real,4,463/2020,6,civil,9,COVID-19,4,Sanidad,12,sanitaria,3,nacional,5,sanitaria,5,Real
20,Artículo,8,Armadas,23,Decreto,4,14,6,CENEM,9,comunidades,4,orden,12,medidas,3,Real,5,marzo,5,Decreto
20,transporte,8,militar,23,Fuerzas,3,alarma,5,marzo,7,Sanidad,4,obligados,9,Real,3,Decreto,4,artículo,5,proceso
19,artículo,8,medidas,22,463/2020,3,situación,5,Nacional,6,Real,3,COVID-19,9,Decreto,3,463/2020,4,Real,4,situación
19,Ministro,6,artículo,22,14,3,artículo,5,Comunidades,6,Decreto,3,Salud,9,formación,3,Ministro,4,Decreto,4,ocasionada
18,competentes,6,marzo,19,alarma,3,penitenciarios,5,Ciudades,6,14,3,Real,8,Salud,3,Transportes,4,463/2020,4,COVID-19
17,locales,6,situación,19,seguridad,2,medidas,5,Estatuto,6,vigor,3,Decreto,7,marzo,3,Movilidad,4,Transportes,4,crisis
17,necesarias,6,autoridad,18,Policía,2,gestión,5,Autonomía,6,contención,3,productos,7,Sanidad,3,Agenda,4,Movilidad,4,sanitaria
16,alarma,5,crisis,17,Ley,2,crisis,5,medidas,6,apartado,3,presente,7,centros,3,Urbana,4,Agenda,4,463/2020
16,real,5,Real,16,competente,2,sanitaria,5,órganos,6,Nacional,3,Orden,7,orden,3,transporte,4,Urbana,4,venta
16,decreto,5,Decreto,15,autoridad,2,ocasionada,4,Real,6,remitirá,3,protección,7,1,3,servicios,4,público,4,billetes
15,e,5,463/2020,14,Orgánica,2,COVID-19,4,Decreto,6,forma,3,publicación,7,personal,3,profesionales,3,evolución,3,1
15,público,5,14,14,caso,2,vigencia,4,463/2020,6,agregada,2,situación,7,comunidad,3,deberán,3,ocasionada,3,2
14,2,5,red,14,órdenes,2,declarado,4,14,6,comunidad,2,salud,7,autónoma,3,conductores,3,COVID-19,3,contenido
