Veces,Palabra
37,medidas
25,gobierno
21,virus
18,alarma
18,gracias
17,consecuencia
16,españa
15,salud
15,pregunta
14,pandemia
14,ciudadanos
14,respuesta
14,personas
13,decreto
13,servicios
12,crisis
12,ministro
12,políticos
12,presidente
11,ministros
11,conjunto
11,público
11,comprar
11,instrumentos
10,social
10,propagación
10,fuerzas
10,lógicamente
9,consejo
9,pública
9,país
9,garantizar
9,territorio
9,responsabilidad
9,movilidad
9,caso
9,presidentes
9,duda
9,insisto
9,frenar
9,relación
8,necesarias
8,quiero
8,nivel
8,territorios
7,coronavirus
7,emergencia
7,expertos
7,casa
7,trabajadores
7,empresarios
7,actividad
7,real
7,sanidad
7,distancia
7,resto
7,coordinación
7,importante
7,unidos
6,decisiones
6,sanitaria
6,sanitarios
6,españoles
6,desgraciadamente
6,efectos
6,autoridades
6,seguridad
6,comunidades
6,actividades
6,alimentos
6,productos
6,establecimientos
6,mayores
6,restricción
6,administraciones
6,mañana
6,información
6,comunicación
6,evidencia
6,problema
6,viva
6,debate
5,económica
5,necesarios
5,precisamente
5,máxima
5,centro
5,debemos
5,autónomos
5,sociales
5,económico
5,español
5,quince
5,autoridad
5,ejercicio
5,locales
5,asistencia
5,protección
5,necesidad
5,recomendaciones
5,contagio
5,función
5,autonómicos
5,colaboración
5,comunidad
5,ciudadano
5,tomar
5,preguntas
5,hablando
5,científica
5,restringir
5,vive
4,extraordinario
4,arma
4,esté
4,situación
4,escenarios
4,fase
4,proteger
4,ganar
4,políticas
4,española
4,familias
4,empresas
4,económicos
4,grupos
4,vulnerables
4,evitar
4,diez
4,necesario
4,interior
4,cuerpos
4,autónomas
4,órdenes
4,intervención
4,subrayar
4,circular
4,centros
4,residencia
4,e
4,servicio
4,queda
4,domicilio
4,civiles
4,públicas
4,medios
4,transporte
4,unidad
4,ideologías
4,semanas
4,distintos
4,partidos
4,amigo
4,batalla
4,comparecencias
4,victoria
4,disciplina
4,pasar
4,podremos
4,volver
4,calles
4,vayamos
4,dinero
4,llegar
4,pan
4,sacar
4,elecciones
4,hablar
4,lunes
4,impacto
4,europa
4,ceuta
4,defender
4,global
4,marcha
3,comité
3,nueve
3,mundial
3,recursos
3,ido
3,contención
3,siguiendo
3,pandemias
3,misión
3,trasladar
3,mano
3,siguientes
3,apoyo
3,marzo
