Veces,Palabra
34,social
33,medidas
32,gobierno
28,empresas
25,crisis
24,conjunto
23,pandemia
22,españa
21,recursos
21,frente
20,económico
20,país
20,trabajadores
19,virus
18,importante
18,económica
16,sociales
16,debemos
15,emergencia
15,públicos
15,real
15,millones
14,personas
14,decreto
14,euros
13,situación
13,consecuencia
13,caso
13,presidente
13,española
12,historia
12,salud
11,economía
11,mil
10,desgraciadamente
10,mundo
10,aprobado
10,alarma
10,duda
10,autónomos
10,atrás
10,llegar
10,insisto
10,hablando
10,pregunta
10,lógicamente
9,económicas
9,económicos
9,gracias
9,temporal
8,sanitaria
8,países
8,sociedad
8,batalla
8,falta
8,conscientes
8,producción
8,pequeñas
8,familias
8,empresarios
8,tejido
8,garantizar
8,español
8,apoyo
7,quiero
7,duros
7,sufriendo
7,españoles
7,democracia
7,actuar
7,comunidad
7,evidentemente
7,definitiva
7,medianas
7,consejo
7,productivo
7,semana
7,movilización
7,democrática
7,casa
7,recuperar
7,europea
7,preguntas
6,coronavirus
6,recuperación
6,consecuencias
6,proteger
6,mayores
6,protección
6,presidentes
6,autónomas
6,esfuerzo
6,sanitario
6,punto
6,servicios
6,prestación
6,seguridad
6,unión
6,representa
6,sanidad
6,expertos
6,gustaria
6,aplausos
6,cadena
6,reconstrucción
6,pública
6,presupuestos
5,fuerzas
5,viendo
5,precedentes
5,efectos
5,administraciones
5,responsabilidad
5,disciplina
5,comunidades
5,curva
5,frenar
5,escudo
5,impacto
5,ley
5,autonómicos
5,unidos
5,ministros
5,empresarial
5,compromiso
5,ciudadanos
5,dejar
5,vulnerables
5,apoyar
5,especial
5,difícil
5,cien
5,circunstancias
5,actividad
5,creemos
5,facilitar
5,necesario
5,sistema
5,contamos
5,profesionales
5,resistiremos
5,contener
5,paso
5,solidaridad
5,quince
4,comité
4,lucha
4,europeos
4,excepcionales
4,línea
4,mantener
4,diario
4,haga
4,parar
4,distintas
4,agentes
4,superar
4,hito
4,tercer
4,sentir
4,ámbito
4,combatir
4,vencerlo
4,poderes
4,sentido
4,colaboración
4,políticos
4,necesitamos
4,conocimiento
4,salida
4,decidido
4,choque
4,explicar
4,ciento
4,responde
4,puedan
4,investigación
4,científica
4,tele
4,medida
4,trabajadoras
4,rotundo
4,liquidez
4,subrayar
4,labor
4,comunicación
4,recomendaciones
4,vemos
4,periodistas
4,frenado
4,seco
4,hora
4,difíciles
4,trabajador
4,brillo
4,europeo
4,nivel
4,ayuda
4,opinión
4,producto
4,bruto
4,colegas
4,términos
3,pronta
3,nueve
3,distingue
3,territorios
3,presentes
3,sábado
3,determinación
3,paliar
3,misión
3,sanitarios
3,públicas
3,manos
3,líderes
3,doblegar
3,alcanzar
3,estaremos
3,superior
3,semanas
3,vacuna
3,tarea
3,forjar
3,sindicatos
3,problemas
3,comerciantes
3,decía
3,cooperación
3,caída
3,reforzar
3,plan
3,hiciera
3,movilizar
3,doscientos
3,porciento
3,diecisiete
3,espacio
3,quedar
3,dure
3,finalmente
3,colectivos
3,telecomunicaciones
3,derecho
3,cuotas
3,ingresos
3,persona
3,temporales
3,artes
3,importantes
3,jornadas
3,coyuntural
3,normalidad
3,afectados
3,creación
3,sector
3,economia
3,saldremos
3,venido
3,actividades
3,permitidas
3,contagio
3,esté
3,ministerio
3,ven
3,prueba
3,organización
3,mundial
3,respuesta
3,servidores
3,voluntad
3,científicos
3,nacional
3,dura
3,e
3,defender
3,digamos
3,cuarentena
3,medios
3,venceremos
3,instituciones
3,prensa
3,extraordinarias
3,año
3,decretar
3,doctor
3,trabajadora
3,años
3,particular
3,dispuesto
3,defensa
3,atender
3,diciendo
3,fundamentales
3,interior
3,empresa
3,consciente
3,envergadura
3,constitución
3,abordar
3,decisión
3,decirles
3,gobiernos
3,derechos
3,necesarios
3,confianza
2,amigos
2,enviar
2,ocasiones
2,ideologías
2,clases
2,padres
2,constantemente
2,laborales
2,mayoría
2,desarrollado
2,pasos
2,certezas
2,momentos
2,eficacia
2,actores
2,específica
2,entrega
2,caracterizado
2,caracteriza
2,distancia
2,seguir
2,isla
2,muchísimo
2,organismo
2,vencer
2,mensaje
2,partidos
2,oposición
2,altura
2,colectivo
2,propagación
2,meta
2,altas
2,médicas
2,infectados
2,victoria
2,contagios
2,permite
2,hacerla
2,picado
2,dejan
2,afectando
2,global
2,distribución
2,finanzas
2,consumo
2,razón
2,simultáneamente
2,descendente
2,aprobar
2,formaciones
2,patronal
2,necesita
2,propuestas
2,mercado
2,valiosas
2,paquete
2,anunció
2,veinte
2,íntegramente
2,privados
2,corto
2,enorme
2,desafío
2,enfrentando
2,especialmente
2,venimos
2,vulnerable
2,cinueve
2,podía
2,prestaciones
2,locales
2,garantizaremos
2,vivienda
2,dificultades
2,pago
2,deudores
2,desarrollando
2,entidades
2,evitar
2,laboral
2,permitir
2,necesidad
2,derivadas
2,permitan
2,fuerza
2,desempleo
2,previa
2,cobro
2,aprobación
2,implica
2,serie
2,cese
2,compatible
2,rapidez
2,gustaría
2,tomemos
2,despidan
2,estás
2,mantenga
2,sepan
2,vuelva
2,empresario
2,largas
2,mercados
2,avales
2,cero
2,cincuenta
2,incorporamos
2,marcha
2,d
2,cuarto
2,cantidad
2,dotar
2,carlos
2,adoptadas
2,empleados
2,asumamos
2,periodo
2,cara
2,arrendatarios
2,dinámica
2,siguientes
2,puntos
2,público
2,menores
2,situaciones
2,fase
2,salvar
2,mañana
2,reconoce
2,manual
2,infalible
2,nacionales
2,demostrando
2,ciudadanas
2,base
2,evaluar
2,deja
2,bienestar
2,humana
2,unidad
2,vidas
2,generosas
2,largos
2,calma
2,tengamos
2,paciencia
2,resistir
2,muralla
2,puesto
2,decenas
2,rueda
2,agencia
2,actuaciones
2,fronteras
2,tipo
2,simon
2,redes
2,subir
2,tendremos
2,seamos
2,menor
2,propietarios
2,abrir
2,vigor
2,teniamos
2,banco
2,central
2,cuestiones
2,europa
2,hicimos
2,planteamos
2,sobrevenida
2,planes
2,sanitarias
2,material
2,pasará
2,efectivamente
2,economías
2,europeas
2,habló
2,petición
2,dirige
2,hablo
2,consejeros
2,capaces
2,trescientos
2,número
2,derrota
2,allá
2,inédito
2,quepa
2,garantía
2,vida
2,cotidianidad
2,pueblo
2,ejemplar
2,polo
2,entender
2,vista
2,necesarias
2,atajar
2,diputados
2,arma
2,director
2,necesaria
2,transparencia
2,pedagogía
2,impulsar
2,relación
2,definitivamente
2,recuperando
2,cuestión
2,comunicado
2,felipe
2,diferencias
2,discrepancias
2,p
2,resto
2,políticas
2,tomar
2,necesariamente
2,afrontar
2,notado
2,colores
2,miradas
2,abordando
2,coalición
2,ejercicio
2,libertades
2,cuarenta
2,actuó
2,actual
2,matices
2,autonómico
2,debates
2,nacionalizar
2,volver
2,rápido
2,interpela
2,civil
1,afecto
1,familiares
1,fallecidas
1,deseos
1,diagnosticados
1,positivos
1,golpeando
1,abuelos
1,parejas
1,hijos
1,amigas
1,esperanza
1,solución
1,vinimos
1,anunciando
1,viviremos
1,seres
1,queridos
1,contagiados
1,sanos
1,viviendo
1,memoria
1,colectiva
1,adultos
1,habitantes
1,dando
1,camino
1,plagado
1,sombras
1,contando
1,requieren
1,librar
1,contienda
1,profesionalidad
1,proveerles
1,extremar
1,coordinación
1,crítico
1,olvidaré
1,repetirlo
1,apurar
