Veces,Palabra
27,casos
20,datos
17,porciento
15,mil
15,personas
12,ministerio
12,autónomas
12,medidas
12,residencias
11,comunidades
11,gracias
10,grupos
10,decreto
9,prensa
9,treinta
9,eh
9,gente
9,mayores
9,información
9,transporte
9,situaciones
9,policía
9,importante
8,sesenta
8,m
8,fuerzas
8,virus
8,quiero
8,colectivos
8,servicios
8,real
7,rueda
7,transportes
7,cuarenta
7,comunas
7,e
7,españoles
7,civil
7,movilidad
7,orden
7,preguntas
6,centro
6,madrid
6,años
6,barcelona
6,nacional
6,forma
6,centros
6,trabajando
6,social
6,especiales
5,país
5,mañana
5,sociales
5,resto
5,letalidad
5,entendemos
5,nivel
5,ejército
5,gobierno
5,países
5,coordinación
5,proteger
5,poquito
5,seguimos
5,utilización
5,reducción
5,tipo
5,estricta
5,vida
5,falta
5,obviamente
5,cataluña
4,evolución
4,coronavirus
4,fernando
4,ministro
4,palabra
4,ciento
4,valorar
4,nueve
4,setecientos
4,navarra
4,edad
4,riesgo
4,profesionales
4,cuerpos
4,seguridad
4,personal
4,concreto
4,ancianos
4,cercanías
4,hora
4,control
4,número
4,permitir
4,servicio
4,graves
4,labor
4,situación
4,españa
4,actividad
4,muestra
4,únicamente
4,mantener
4,tratar
4,establece
4,cuestión
4,impacto
4,comentaba
4,cuarentena
4,fallecidos
4,obtener
4,implementar
4,semana
3,punto
3,viendo
3,comité
3,sanidad
3,defensa
3,interior
3,simón
3,año
3,equipo
3,diario
3,indica
3,veinticinco
3,novecientos
3,fallecido
3,ejem
3,vasco
3,termina
3,mencionado
3,sólida
3,dieciocho
3,grave
3,compañeros
3,aire
3,acciones
3,marco
3,operación
3,quisiera
3,armadas
3,sanitario
3,pasamos
3,formación
3,persona
3,puerto
3,zaragoza
3,guardia
3,perdón
3,aeropuertos
3,renfe
3,ave
3,significa
3,diez
3,soldados
3,misiones
3,difícil
3,tema
3,distintas
3,militares
3,disciplina
3,casa
3,podamos
3,sentido
3,afecto
3,llegar
3,calle
3,riesgos
3,material
3,colaboración
3,local
3,menores
3,sigan
3,cumplir
3,josé
3,alarma
3,responsabilidad
3,teniendo
3,noventa
3,vehículos
3,importantes
3,redes
3,serrallo
3,española
3,sociedad
3,quince
3,cercanias
3,incluyendo
3,autobús
3,aéreo
3,máximo
3,sistema
3,periodo
3,ehh
3,compañías
3,distanciamiento
3,tratando
3,clave
3,medios
3,concretas
3,pregunta
3,territorios
3,implementación
3,proceso
3,mensaje
2,portavoz
2,moncloa
2,comunicación
2,comienza
2,once
2,media
2,responsable
2,emergencias
2,sanitarias
2,comparecencia
2,salvador
2,vicepresidente
2,derechos
2,responsables
2,técnicos
2,simon
2,técnico
2,informar
2,viviendo
2,entorno
2,cuatrocientos
2,incremento
2,diecisiete
2,bloques
2,comportamiento
2,comunitaria
2,castilla
2,inicio
2,normalmente
