Veces,Palabra
29,gobierno
27,sociales
26,social
21,medidas
18,sanidad
18,seguridad
17,ministerio
17,personas
16,situación
16,quiero
15,trabajando
15,servicios
13,sistema
12,ministro
12,reforzar
12,sanitario
12,seguir
12,comunidades
12,garantizar
12,autónomas
11,virus
11,profesionales
11,sentido
11,necesario
11,ministros
11,gente
11,crisis
10,salud
10,tarea
10,país
10,frente
10,consejeros
10,mil
10,productos
10,protección
10,gracias
10,centros
9,coronavirus
9,disposición
9,millones
9,atención
9,martes
8,sanitarios
8,casos
8,presidente
8,nacional
8,orden
8,residencias
8,mayores
8,colectivos
8,vulnerables
8,consejo
8,personal
8,fuerzas
7,emergencia
7,insisto
7,recursos
7,trescientos
7,euros
7,proteger
7,defensa
7,fondo
7,hogar
6,vicepresidente
6,público
6,juntos
6,batalla
6,medios
6,diez
6,mascarillas
6,sanitaria
6,apoyo
6,equipos
6,armadas
5,decreto
5,autonómicos
5,compra
5,tipo
5,material
5,colaboración
5,vicepresidencia
5,administraciones
5,aprobamos
5,paquete
5,significa
5,dejar
5,escudo
5,derecho
5,reunión
5,alimentación
5,tercer
4,comparecencia
4,esfuerzos
4,duros
4,pico
4,objetivo
4,materia
4,común
4,necesarios
4,protocolo
4,coordinación
4,caso
4,especialmente
4,cabo
4,plan
4,choque
4,desarrollando
4,importante
4,trabajadores
4,afrontar
4,cien
4,compromiso
4,derechos
4,asistencia
4,atender
4,ministra
4,intervención
4,mandado
4,iglesias
3,afectados
3,ciudadanos
3,ido
3,tomando
3,momentos
3,seguiremos
3,viendo
3,alarma
3,humanos
3,materiales
3,órdenes
3,residentes
3,gestión
3,prensa
3,quitamos
3,producción
3,realizando
3,falta
3,máximo
3,finalmente
3,doscientos
3,marzo
3,riesgo
3,convertir
3,conjuntamente
3,paso
3,operativos
3,impacto
3,economía
3,familias
3,unidos
3,máxima
3,laboral
3,reiterar
3,marcha
3,conjunto
3,absolutamente
3,clave
3,agradecer
3,pública
3,condiciones
3,enormemente
3,fundamental
3,telemática
3,diecinueve
3,mañana
3,situaciones
3,domicilio
3,entorno
3,plantillas
3,individual
3,desgracia
3,enfrentar
3,responder
3,equipo
3,afectadas
3,responsable
3,disponibles
3,sector
3,sociedad
3,miembros
3,tomar
3,países
3,atrás
3,económicas
3,nivel
3,comunicación
3,forma
3,guerra
3,entrar
3,pregunta
3,ciudadano
3,decia
3,responsables
3,relación
3,cataluña
3,debate
2,enfermedad
2,conseguiremos
2,demostrando
2,mundo
2,escatimar
2,luz
2,referirme
2,recordar
2,incremento
2,acercando
2,colectiva
2,convoque
2,empezar
2,descender
2,victoria
2,dije
2,tomado
2,tomamos
2,poniendo
2,funcionando
2,incorporando
2,cuarto
2,curso
2,once
2,enfermería
2,plaza
2,estudiantes
2,privadas
2,suministros
2,español
2,desarrollar
2,mecanismos
2,agentes
2,oportuno
2,red
2,equidad
2,asegurar
2,esté
2,industria
2,organización
2,informaciones
2,aparecido
2,subrayar
2,derrotar
2,correcta
2,instrucciones
2,puedan
2,disponemos
2,asuntos
2,justicia
2,produzcan
2,oportunas
2,suministro
2,palabra
2,tardes
2,toca
2,pilar
2,supone
2,públicos
2,historia
2,españa
2,responde
2,especial
2,económica
2,desatendido
2,económico
2,debemos
2,paramos
2,persona
2,ingresos
2,evitar
2,despidos
2,aprender
2,capacidad
2,desamparado
2,trabajadora
2,cuidar
2,prestación
2,visto
2,moratoria
2,hipotecas
2,hogares
2,vulnerabilidad
2,compatriotas
2,pagar
2,brevedad
2,tensión
2,instrumento
2,consecuencias
2,línea
2,difíciles
2,mantener
2,vicepresidentes
2,ayuntamientos
2,dependencia
2,comité
2,cinueve
2,diputaciones
2,dotado
2,reparto
2,reforzando
2,dispositivos
2,protocolos
2,actual
2,prioridad
2,urgente
2,médica
2,asistir
2,colectivo
2,refuerzo
2,higiene
2,habilitar
2,comedores
2,posibles
2,espacios
2,civil
2,solicitado
2,reconocer
2,orgullo
2,necesarias
2,dejando
2,piel
2,camas
2,papel
2,trabajadoras
2,clase
2,vecinos
2,redes
2,patriotismo
2,fuerza
2,podido
2,superar
2,inclusión
2,unión
2,europea
2,estudiar
2,punto
2,seguimos
2,política
2,europa
2,camino
2,pone
2,perfil
2,único
2,preguntas
2,salvador
2,concreta
2,distribución
2,comprar
2,cuestión
2,competencias
2,anteriormente
2,elevar
2,partes
2,requisar
2,aduanas
2,político
2,alquiler
2,respondiendo
2,principio
2,curva
2,reconoció
2,libertad
2,expresión
2,partido
2,codo
2,independientemente
2,producido
2,decisiones
2,requieren
2,opinión
1,francesa
1,palacio
1,moncloa
1,conversamos
1,estabas
1,ejemplos
1,ciencias
1,encaminadas
1,combatir
1,tratar
1,contener
1,revertir
1,evolución
1,número
1,ganarle
1,sentirse
1,orgulloso
1,responsabilidad
1,disciplina
1,actuando
1,españoles
1,verdaderamente
1,amenaza
1,excepcional
1,apellido
1,constatar
1,imagen
1,considerado
1,mejores
1,leyenda
1,fama
1,justificadas
1,cuentan
1,desempeñando
1,constituye
1,esencial
1,ganado
1,admiración
1,gratitud
1,transmite
1,entero
1,balcones
1,anochecer
1,verde
1,arma
1,nació
1,serie
1,anunciar
1,recordado
1,doctor
1,fernando
1,simón
1,sitio
1,cámaras
1,alcanzar
1,doblegar
1,vencerlo
1,comenzamos
1,dictó
1,ámbito
1,consistente
1,correctamente
1,treinta
1,gradualmente
1,médicos
1,internos
1,quinto
1,habiendo
1,superado
1,pruebas
1,selectivas
1,novia
1,alcanzado
1,jimmy
1,medicina
1,kos
1,asimismo
1,instalaciones
1,áreas
1,sistemas
1,única
1,raíz
1,informan
1,consagró
1,trágicos
1,this
1,facciones
1,referencia
1,considerados
1,esenciales
1,creemos
1,importadores
1,fabricantes
1,disponen
1,origen
1,balance
1,estudiando
1,cartier
1,productora
1,efectuar
1,tareas
1,reforzado
1,provisiones
1,demandados
1,impide
1,autonómicas
1,decirles
1,distribuido
1,millón
1,re
1,distribuyendo
1,veintisiete
1,abastecimiento
1,complicado
1,mercados
1,respeta
1,cohesión
1,estrictamente
1,redistribuir
1,dúo
1,disponible
1,abordando
1,supervisión
1,tipos
1,ritmo
1,eficiencia
1,haremos
1,información
1,recabar
1,datos
1,elaborar
1,informes
1,pertinentes
1,extraoficialmente
1,diligentemente
1,adoptamos
1,adoptaremos
1,edo
1,importe
1,global
1,transfer
1,diremos
1,gastos
1,comporta
1,adicionalmente
1,entregas
1,liquidez
1,adoptó
1,consejos
1,anteriores
1,grupo
1,sensible
1,trabajado
1,hora
1,vos
1,visitaremos
1,encomendar
1,estacionales
1,administración
1,asegurando
1,mínimos
1,garantizados
1,encomendados
1,vicepresidenta
1,transición
1,ecológica
1,tome
1,suspensión
1,garantía
1,eléctrico
1,bona
1,tarda
1,arratsalde
1,on
1,llevando
1,informarles
1,acciones
1,conjuntas
1,socioeconómico
1,logramos
1,aprobar
1,movilización
1,económicos
1,privados
1,reciente
1,hablando
1,veinte
1,porciento
1,pib
1,evidente
1,humilde
1,mano
1,construir
1,capaz
1,amortiguar
1,negativo
1,declaración
1,vacía
1,quede
1,desamparada
1,cierres
1,empresas
1,errores
1,mantenga
1,necesiten
1,cumplen
1,frenar
1,quedar
1,jugar
1,suyos
1,adaptarnos
1,reducir
1,jornada
1,familia
1,garantice
1,elites
1,recibir
1,consumir
1,paro
1,autónomo
1,interrumpida
1,actividad
1,mermado
1,cortar
1,echarle
1,casa
1,prohibición
1,cortes
1,básicos
1,decidimos
1,contar
1,protejan
1,permítanme
1,detenga
1,específicos
1,dirigidas
1,aplomo
1,seiscientos
1,estratégico
1,minimizar
1,conflicto
1,aprovechar
1,enorme
1,enorgullece
1,esfuerzo
1,agradecimiento
1,extensivo
1,combate
1,pude
1,coordinar
1,fundamentalmente
1,ejes
1,flexibilización
1,regla
1,gasto
1,supervisor
1,respondió
1,año
1,partidas
1,problemas
1,índole
1,asociados
1,superávit
1,afecta
1,municipios
1,pequeños
1,provinciales
1,cargo
1,creado
1,extraordinario
1,destinado
1,viernes
1,convocado
1,interterritorial
1,presentes
1,abordar
1,definitivo
1,cantidad
1,transferida
1,ceuta
1,melilla
1,financiar
1,prestaciones
1,básicas
1,tengan
1,objeto
1,específicas
1,derivadas
1,cómic
1,permítame
1,destacar
1,preocupantes
1,dependientes
1,discapacidad
1,cierre
1,casas
1,vinculación
1,ampliar
1,tele
1,domiciliaria
1,lugares
1,desbordadas
1,dispuesto
1,positivas
1,ávido
1,contagio
1,fallecimientos
1,previos
1,episodios
1,ipc
1,piden
1,chicas
1,obviamente
1,desfasados
1,sirven
1,preocupante
1,absoluta
1,originando
1,emplearse
1,liza
1,elementos
1,iban
1,adquirirse
1,lleven
1,contingencia
1,vulnerable
1,cumpliendo
1,comunicamos
1,objetivos
1,constituido
1,unidades
1,diariamente
1,kit
1,expliqué
1,prevención
1,mira
1,temperatura
1,orienten
1,comida
1,reforzamiento
1,dotó
1,asalto
1,toman
1,preventivas
1,identifiqué
1,ves
1,derive
1,amplios
1,fema
1,madriz
1,alojar
1,posibilidades
1,aislamiento
1,sobrecarga
1,enfrentan
1,cooperación
1,cubrir
1,necesidades
1,cuerpos
1,acompañados
1,participaron
1,seguimiento
1,diario
1,dotación
1,habilitación
1,pongamos
1,asumimos
1,debo
1,imaginaba
1,preocupación
1,primeras
1,preocupaciones
1,emociono
1,agradecerle
1,llevado
1,peticiones
1,recibamos
1,participación
1,misiones
1,emocionadas
1,literalmente
1,departamentos
1,movilizar
1,elaborado
1,formar
1,solicitó
1,buscar
1,vinculados
1,servir
1,ponemos
1,quinientas
1,localizado
1,repartidas
1,edificios
1,habría
1,oh
1,darle
1,nombre
1,volcando
1,hablar
1,avanza
1,paradores
1,petrer
1,tejido
1,altruista
1,logística
1,limpieza
1,jugando
1,funcionar
1,funcione
1,falte
1,vecinas
1,organizan
1,solidaridad
1,bajar
1,basura
1,niños
1,desinfectar
1,zonas
1,comunes
1,demuestra
1,publicó
1,res
1,publica
1,elemento
1,sentir
1,mejorar
1,informar
1,componer
1,puesto
1,paren
1,reiterados
1,refuercen
1,construyendo
1,excepción
1,semana
1,marca
1,inflexión
1,decidido
1,dogmas
1,austeridad
1,fiscal
1,fracasaron
1,emprender
1,recetas
1,pusieron
1,déficit
1,ocasión
1,puesta
1,opuesta
1,usando
1,herramientas
1,explicado
1,histórico
1,recorrer
1,teniendo
1,imprescindible
1,diciendo
1,economistas
1,escuelas
1,instrumentos
1,hagamos
1,desgracias
1,muchísima
1,demostrado
1,mundial
1,podríamos
1,civilizadora
1,i
1,respuesta
1,coordinada
1,planificar
1,contundente
1,protege
1,proteja
1,esclavo
1,acabo
1,seamos
1,capaces
1,trance
1,experiencia
1,apostar
1,cara
1,futuro
1,cinturón
1,bienestar
1,muchísimas
1,gestionamos
1,secretaría
1,decenas
1,llegadas
1,villa
1,criterios
1,centralizada
1,anunciada
1,semanas
1,enfoca
1,direcciones
1,podamos
1,mercado
1,disfruten
1,disfunción
1,serbios
1,necesitamos
1,excluye
1,actores
1,ford
1,comprando
1,estén
1,actuación
1,puntual
